"tree_species","neighbourhood_name","tree_scale","height_range_id","n_tree"
"ACER CAMPESTRE","DUNBAR-SOUTHLANDS","short",0,168
"ACER CAMPESTRE","RENFREW-COLLINGWOOD","short",0,186
"ACER CAMPESTRE","SHAUGHNESSY","short",0,100
"ACER FREEMANI   X","SUNSET","short",0,219
"ACER PLATANOIDES","DUNBAR-SOUTHLANDS","short",0,320
"ACER PLATANOIDES","KENSINGTON-CEDAR COTTAGE","short",0,418
"ACER PLATANOIDES","KERRISDALE","short",0,366
"ACER PLATANOIDES","SUNSET","short",0,390
"ACER RUBRUM","DOWNTOWN","short",0,549
"ACER RUBRUM","DUNBAR-SOUTHLANDS","short",0,307
"ACER RUBRUM","KERRISDALE","short",0,229
"ACER RUBRUM","KITSILANO","short",0,111
"ACER RUBRUM","SUNSET","short",0,332
"ACER RUBRUM","VICTORIA-FRASERVIEW","short",0,182
"CARPINUS BETULUS","GRANDVIEW-WOODLAND","short",0,190
"CARPINUS BETULUS","KITSILANO","short",0,71
"CARPINUS BETULUS","RENFREW-COLLINGWOOD","short",0,253
"CARPINUS BETULUS","SOUTH CAMBIE","short",0,60
"CARPINUS BETULUS","VICTORIA-FRASERVIEW","short",0,178
"FAGUS SYLVATICA","DOWNTOWN","short",0,289
"FAGUS SYLVATICA","DUNBAR-SOUTHLANDS","short",0,115
"FAGUS SYLVATICA","KITSILANO","short",0,127
"FAGUS SYLVATICA","RENFREW-COLLINGWOOD","short",0,360
"MAGNOLIA KOBUS","RENFREW-COLLINGWOOD","short",0,221
"MAGNOLIA KOBUS","VICTORIA-FRASERVIEW","short",0,139
"PRUNUS CERASIFERA","ARBUTUS-RIDGE","short",0,388
"PRUNUS CERASIFERA","DUNBAR-SOUTHLANDS","short",0,679
"PRUNUS CERASIFERA","HASTINGS-SUNRISE","short",0,555
"PRUNUS CERASIFERA","KENSINGTON-CEDAR COTTAGE","short",0,310
"PRUNUS CERASIFERA","KITSILANO","short",0,252
"PRUNUS CERASIFERA","MARPOLE","short",0,386
"PRUNUS CERASIFERA","RILEY PARK","short",0,438
"PRUNUS CERASIFERA","SUNSET","short",0,600
"PRUNUS CERASIFERA","VICTORIA-FRASERVIEW","short",0,636
"PRUNUS CERASIFERA","WEST POINT GREY","short",0,204
"PRUNUS SERRULATA","KERRISDALE","short",0,413
"PRUNUS SERRULATA","MARPOLE","short",0,402
"PRUNUS SERRULATA","MOUNT PLEASANT","short",0,403
"PRUNUS SERRULATA","RENFREW-COLLINGWOOD","short",0,519
"PRUNUS SERRULATA","SUNSET","short",0,419
"ACER CAMPESTRE","ARBUTUS-RIDGE","short",1,75
"ACER CAMPESTRE","DOWNTOWN","short",1,73
"ACER CAMPESTRE","DUNBAR-SOUTHLANDS","short",1,168
"ACER CAMPESTRE","FAIRVIEW","short",1,51
"ACER CAMPESTRE","GRANDVIEW-WOODLAND","short",1,116
"ACER CAMPESTRE","HASTINGS-SUNRISE","short",1,158
"ACER CAMPESTRE","KENSINGTON-CEDAR COTTAGE","short",1,185
"ACER CAMPESTRE","KERRISDALE","short",1,60
"ACER CAMPESTRE","KILLARNEY","short",1,73
"ACER CAMPESTRE","KITSILANO","short",1,83
"ACER CAMPESTRE","MARPOLE","short",1,87
"ACER CAMPESTRE","MOUNT PLEASANT","short",1,59
"ACER CAMPESTRE","OAKRIDGE","short",1,82
"ACER CAMPESTRE","RENFREW-COLLINGWOOD","short",1,186
"ACER CAMPESTRE","RILEY PARK","short",1,113
"ACER CAMPESTRE","SHAUGHNESSY","short",1,100
"ACER CAMPESTRE","SOUTH CAMBIE","short",1,92
"ACER CAMPESTRE","STRATHCONA","short",1,36
"ACER CAMPESTRE","SUNSET","short",1,167
"ACER CAMPESTRE","VICTORIA-FRASERVIEW","short",1,166
"ACER CAMPESTRE","WEST END","short",1,38
"ACER CAMPESTRE","WEST POINT GREY","short",1,20
"ACER FREEMANI   X","ARBUTUS-RIDGE","short",1,22
"ACER FREEMANI   X","DOWNTOWN","short",1,220
"ACER FREEMANI   X","DUNBAR-SOUTHLANDS","short",1,64
"ACER FREEMANI   X","FAIRVIEW","short",1,119
"ACER FREEMANI   X","GRANDVIEW-WOODLAND","short",1,168
"ACER FREEMANI   X","HASTINGS-SUNRISE","short",1,160
"ACER FREEMANI   X","KENSINGTON-CEDAR COTTAGE","short",1,233
"ACER FREEMANI   X","KERRISDALE","short",1,72
"ACER FREEMANI   X","KILLARNEY","short",1,174
"ACER FREEMANI   X","KITSILANO","short",1,90
"ACER FREEMANI   X","MARPOLE","short",1,137
"ACER FREEMANI   X","MOUNT PLEASANT","short",1,121
"ACER FREEMANI   X","OAKRIDGE","short",1,78
"ACER FREEMANI   X","RENFREW-COLLINGWOOD","short",1,275
"ACER FREEMANI   X","RILEY PARK","short",1,123
"ACER FREEMANI   X","SHAUGHNESSY","short",1,92
"ACER FREEMANI   X","SOUTH CAMBIE","short",1,108
"ACER FREEMANI   X","STRATHCONA","short",1,47
"ACER FREEMANI   X","SUNSET","short",1,219
"ACER FREEMANI   X","VICTORIA-FRASERVIEW","short",1,143
"ACER FREEMANI   X","WEST END","short",1,138
"ACER FREEMANI   X","WEST POINT GREY","short",1,32
"ACER PLATANOIDES","ARBUTUS-RIDGE","short",1,104
"ACER PLATANOIDES","DOWNTOWN","short",1,209
"ACER PLATANOIDES","DUNBAR-SOUTHLANDS","short",1,320
"ACER PLATANOIDES","FAIRVIEW","short",1,130
"ACER PLATANOIDES","GRANDVIEW-WOODLAND","short",1,215
"ACER PLATANOIDES","HASTINGS-SUNRISE","short",1,447
"ACER PLATANOIDES","KENSINGTON-CEDAR COTTAGE","short",1,418
"ACER PLATANOIDES","KERRISDALE","short",1,366
"ACER PLATANOIDES","KILLARNEY","short",1,113
"ACER PLATANOIDES","KITSILANO","short",1,264
"ACER PLATANOIDES","MARPOLE","short",1,157
"ACER PLATANOIDES","MOUNT PLEASANT","short",1,133
"ACER PLATANOIDES","OAKRIDGE","short",1,173
"ACER PLATANOIDES","RENFREW-COLLINGWOOD","short",1,447
"ACER PLATANOIDES","RILEY PARK","short",1,212
"ACER PLATANOIDES","SHAUGHNESSY","short",1,363
"ACER PLATANOIDES","SOUTH CAMBIE","short",1,116
